P	NODE2VEC_P	NODE2VEC_AUC	Embedding_P	Embedding_AUC
0.01	1.0	0.0	0.9288762446657184	0.14224751066856328
0.02	1.0	0.0	0.9853886616014027	0.029222676797194622
0.03	0.9723947550034506	0.05521048999309869	0.9585921325051759	0.08281573498964803
0.04	0.9916749916749916	0.01665001665001665	0.9542124542124543	0.09157509157509157
0.05	0.9875156054931336	0.024968789013732832	0.982521847690387	0.03495630461922597
0.06	0.9980092371396719	0.003981525720656156	0.9462494027711419	0.10750119445771619
0.07	0.9866511334401242	0.026697733119751467	0.9696616669093734	0.06067666618125333
0.08	0.9887690925426774	0.022461814914645103	0.9797843665768194	0.04043126684636119
0.09	0.9853369904604184	0.029326019079163004	0.9810243405958357	0.037951318808328596
0.1	0.9856244384546271	0.028751123090745734	0.9811320754716981	0.03773584905660377
0.11	0.9863704511380673	0.02725909772386534	0.9850074962518741	0.02998500749625187
0.12	0.9828803202697008	0.0342393594605984	0.9822218710493047	0.035556257901390644
0.13	0.9858856739590685	0.02822865208186309	0.9826778725861295	0.03464425482774106
0.14	0.9851485148514851	0.029702970297029698	0.9872701555869873	0.025459688826025454
0.15	0.9913941480206541	0.017211703958691912	0.9894817364696883	0.021036527060623447
0.16	0.9832418283963228	0.03351634320735444	0.9936159346271706	0.012768130745658834
0.17	0.9913571070508721	0.017285785898255863	0.9913571070508721	0.017285785898255863
0.18	0.9924619327604403	0.015076134479119555	0.9912055882205136	0.017588823558972816
0.19	0.9906681597611049	0.018663680477790223	0.9930011198208286	0.013997760358342666
0.2	0.9981857764876633	0.0036284470246734394	0.9945573294629898	0.01088534107402032
0.21	0.9930986887508627	0.013802622498274672	0.9976995629169543	0.004600874166091558
0.22	1.0	0.0	0.9816715542521994	0.03665689149560117
0.23	0.9906498363721365	0.018700327255726974	0.9859747545582047	0.028050490883590462
0.24	1.0	0.0	0.9924516908212561	0.015096618357487924
0.25	1.0	0.0	1.0	0.0
0.26	1.0	0.0	1.0	0.0
0.27	1.0	0.0	1.0	0.0
0.28	1.0	0.0	1.0	0.0
0.29	1.0	0.0	1.0	0.0
0.3	1.0	0.0	1.0	0.0
0.31	1.0	0.0	1.0	0.0
0.32	1.0	0.0	1.0	0.0
0.33	
